what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250398141769
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250398141776
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250398141777
started,bundle,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject",1250398141779
os,sysinfo,,,"linux",1250398141785
arch,sysinfo,,,"x86",1250398141785
ws,sysinfo,,,"gtk",1250398141785
locale,sysinfo,,,"en_IN",1250398141785
processors,sysinfo,,,"2",1250398141786
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1250398141786
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1250398141786
java.specification.name,sysinfo,,,"Java Platform API Specification",1250398141786
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250398141786
java.specification.version,sysinfo,,,"1.6",1250398141786
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250398141786
java.version,sysinfo,,,"1.6.0_0",1250398141786
java.vm.info,sysinfo,,,"mixed mode, sharing",1250398141786
java.vm.name,sysinfo,,,"OpenJDK Client VM",1250398141786
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250398141786
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250398141786
java.vm.specification.version,sysinfo,,,"1.0",1250398141786
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250398141786
java.vm.version,sysinfo,,,"14.0-b08",1250398141786
closed,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250398146329
closed,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1250398146344
